" ""Title""",Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,Point,Longitude,Latitude,Analysis Neighborhood,Supervisor District,data_as_of,data_loaded_at
Milk,2008,El Camino Del Mar,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,POINT (-122.4962354 37.7857806),-122.4962354,37.7857806,Lincoln Park,1.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Chance Season 2,2017,Coit Tower,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,POINT (-122.4058222 37.8023949),-122.4058222,37.8023949,North Beach,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Red Widow,2013,Mason & Sacramento St,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,POINT (-122.4110311 37.7927806),-122.4110311,37.7927806,Nob Hill,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
A Taiwanese Tale of Two Cities,2018,Pier 5,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,POINT (-122.3960343 37.7980698),-122.3960343,37.7980698,,,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Americana,2015,Palace of Fine Arts,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,POINT (-122.4484231 37.8029308),-122.4484231,37.8029308,Marina,2.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone,,,,,,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
DEVS,2020,Leavenworth at Filbert St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,POINT (-122.4176189 37.800359),-122.4176189,37.800359,Russian Hill,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
The Organization,1971,,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,Barbara McNair,,,,,,,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
"Murder in the First, Season 1",2014,Joice Street at Clay Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,POINT (-122.4087417 37.7939662),-122.4087417,37.7939662,Chinatown,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
I's,2011,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,POINT (-122.4027468 37.7887655),-122.4027468,37.7887655,Financial District/South Beach,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Sense8,2015,Van Ness and 12th St.,A couple reminisces on the moment they first fell in love,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,POINT (-122.4188895 37.7735588),-122.4188895,37.7735588,Mission,6.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
The Wedding Planner,2001,Pleasant Street at Taylor,,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,POINT (-122.4114139 37.7856667),-122.4114139,37.7856667,Tenderloin,5.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Quitters,2015,Geary from 22nd Ave to Arguello,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,,,,,,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Outerlands,2025,Mijote - 2400 Harrison St.,,"Vajra Films, LLC",Wolfe Video,Elena Oxman,Elena Oxman,Asia Kate Dillon,Louisa Krause,Ridley Asha Bateman,POINT (-122.4128578 37.7588804),-122.4128578,37.7588804,Mission,9.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,POINT (-122.4021715 37.792255),-122.4021715,37.792255,Financial District/South Beach,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,,,,,,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Terminator - Genisys,2015,California at Jones,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,POINT (-122.4141357 37.7914291),-122.4141357,37.7914291,Nob Hill,3.0,2026/02/20 04:37:46 PM,2026/02/20 04:44:43 PM
Good NeighborSam,1964,Various locations in San Francisco during driving scene,,Columbia Pictures Corpor ,,,,,,,,,,,,,
